ISO639.3;language
naq;Nama
knw;!Kung
hts;Hadza
sad;Sandawe
kwz;Kwadi
ras;Orig
ewe;Ewe
mnk;Mandinka
fub;Fula
ijc;Ijo
gbp;Gbeya
lug;Luganda
kau, knc;Kanuri
fvr;Fur
ikx;Ik
nrb;Nera
kzh;Nubian
laj;Lango
mas;Maa
niq;Nandi
guk;Gumuz
yor;Yoruba
kab;Kabyle
hau;Hausa
kna;Kanakuru
ttr;Tera
egy;Egyptian (Ancient)
akk;Akkadian
arb;Arabic
amh;Amharic
mdx;Dizi
hae;Oromo
bej;Beja
sux;Sumerian
elx;Elamite
xhu;Hurrian
eus;Basque
hit;Hittite
;Tocharian
fra;French (colloquial)
hye;Armenian (Eastern)
eng;English
rus;Russian
wbk;Waigali
oss;Ossetic
als;Albanian
inh;Ingush
kjj;Xinalug
udi;Udi
lez;Lezgi
dar;Dargi (Kubachi)
lbe;Lak
abk;Abkhaz
yrk;Nenets (Tundra)
hun;Hungarian
kpv;Komi (Zyrian)
fin;Finnish
chv;Chuvash
tyv;Tuva
krc;Karachay-Balkar
khk;Mongolian (Khalkha)
;
Mongolian (Khalkha), Mongolian (Khalkha);
;
;
gld;Nanai
ykg;Yukagir (Tundra)
ket;Ket
ain;Ainu
jpn;Japanese
kor;Korean
ckt;Chukchi
itl;Itelmen
ale;Aleut
ynk;Naukan
bsk;Burushaski
nlx;Nahali
kfe;Kota
cmn;Mandarin
mhu;Mishmi
pmi;Pumi
lhu;Lahu
ksw;Karen (Sgaw)
pcj;Gorum
tea;Temiar
caq;Car
abj;
oon;Onge
tha;Thai
cov;Cao Miao
pwn;Paiwan
cha;Chamorro
tgl;Tagalog
bhq;Tukang Besi
mhs;Buru
slp;Lamaholot
ksd;Tolai
dhv;Drehu
tbo;Tawala
pon;Ponapean
fij;Fijian (Boumaa)
smo;Samoan
kvd;Kui (Indonesia)
saj;Sahu
tpg;
dmy;Demta
dni;Dani (Lower Grand Valley)
;retire_Yali
kew;Kewa
wiu;Wiru
sll;Salt-Yui
ygr;Hua
usa;Usarufa
sue;Suena
bbb;Barai
kpw;Kobon
mfw;Mulaha
kmg;Kâte
yva;Yawa
wsa;Warembori
bzu;Burmeso
bvz;Bauzi
tmu;Iau
;Asmat
kvg;Boazi
kig;Kimaama
kiw;Kiwai
kcd;Ngkalmpw Knwme
pwa;Pawaian
set;Sentani
nir;Nimboran
mrf;Elseng
vam;Vanimo
wrs;Waris
yuj;Karkar
yss;Yessan-Mayo
ksi;Krisa
aon;Arapesh
opm;Oksapmin
amp;Alamblak
yee;Yimas
gpn;Gapun
kmn;Awtuw
kps;Tehit
aey;Amele
tya;Tauya
wnu;Usan
wsk;Waskia
sua;Sulka
anz;Anêm
siw;Motuna
kyx;Konua
byx;Baining
nfl;Aiwo
tyn;Kombai
bkl;Berik
kiy;Kirikiri
oia;Oirata
lev;Lamma
kvw;Kolana
dbl;Dyirbal
kdd;Yankunytjara
aer;Mparntwe Arrernte
dif;Diyari
urf;Uradhi
duj;Djapu
wyb;Ngiyambaa
;Wemba Wemba
mpc;Mangarayi
jig;Djingili
gcd;Yukulta
gyd;Kayardild
gup;Gunwinggu
nig;Ngalakan
wrz;Waray
wrr;Wardaman
tiw;Tiwi
mfr;Marrithiyel
mwf;Murrinh-patha
mpb;Malak-Malak
mph;Maung
gni;Kuniyanti
nyh;Nyigina
ung;Ungarinjin
mep;Miriwung
wnd;Warndarang
alh;Alawa
gbu;Gaagudju
gbc;Garrwa
nck;Nakkara
nuy;Nunggubuyu
lrg;Larakiya
peb;Pomo (Eastern)
dih;Diegueño
cid;Chimariko
kyh;Karok
sht;Shasta
was;Washo
yok;Yokuts (Yawelmani)
;Sahaptin
nmu;Maidu (Northeast)
nez;Nez Perce
skd;Miwok (Southern Sierra)
wit;Wintu
wac;Wishram
inz;Ineseño
hax;Haida
kut;Kutenai
sln;Salinan
tjm;Timucua
zun;Zuni
tkm;Takelma
wiy;Wiyot
yur;Yurok
crk;Cree (Plains)
oji;Ojibwa
aqp;Atakapa
paw;Pawnee
qui;Quileute
ctm;Chitimacha
see;Seneca
kjq;Acoma
kio;Kiowa
cku;Koasati
nav;Navajo
scs;
tli;Tlingit
eya;Eyak
cho;Choctaw
ncz;Natchez
shs;Shuswap
squ;Squamish
lkt;Lakhota
tqw;Tonkawa
git;Gitksan
tun;Tunica
aes;Alsea
lui;Luiseño
shh;Tümpisa Shoshone
ood;O’odham
ppl;Pipil
kwk;Kwakwala
noo;Nuuchahnulth
yuc;Yuchi
wao;Wappo
pei;Chichimec
mig;Mixtec (Chalcatongo)
chd;Chontal (Highland)
;Huave
miq;Miskito
;Mixe
tsz;Tarascan
tee;Tepehua (Huehuetla)
tzj;Tzutujil
;Cuitlatec
pbb;Paez
gym;Guaymí
kbh;Camsá
cni;Axininca Campa
rgr;Resígaro
pad;Paumarí
con;Cofán
cbu;Candoshi
jiv;Shuar
yad;Yagua
auc;Waorani
ura;Urarina
bmr;Muinane
qub;Quechua (Huallaga)
jqr;Jaqaru
yuz;Yurakare
cbs;Cashinahua
pue;Gününa-Küne
alc;Kawesqar
arn;Mapudungun
;Huarpe
;Mataco
xra;
myp;Pirahã
ito;Itonama
tba;Aikaná
nab;Nambikwara
irn;Iranshe
tpy;Trumaí
mzp;Movima
cyb;Cayuvava
gug;Guaraní (Paraguayan)
hix;Hixkaryana
xsu;Sanuma
wba;Warao
hti;Hoti
bod;Tibetan (Standard Spoken)
byw;Belhare
deu;German
wbp;Warlpiri
isl;Icelandic
ace;Acehnese
;Quiche
nep;Nepali
hin;Hindi
mai;Maithili
swa;Swahili
che;Chechen
cnh;Hakka Lai
mri;Maori
kat;Georgian
abt;Ambulas
imn;Imonda
vma;Martuthunira
kun;Kunama
lgg;Logbara
mrt;Margi
som;Somali
ses;Koroboro Senni
;Berber
cos;Hanis (Coos)
niv;Nivkh
ggn;
gle;Irish
whg;Ku Waru
ayz;Maybrat
nas;Nasioi
ute;Paiute (Southern)
sis;Siuslaw (Lower Umpqua)
khq;Songhai (Koyra Chiini)
fut;Futuna (West)
rma;Rama
esu;Yup’ik (Central)
pes;Persian
ady;Circassian (West)
zai;Zapotec (Isthmus)
jac;
one;Oneida
mya;Burmese
ell;Greek (modern)
mrc;Maricopa
sag;Sango
pma;Paamese
new;Newar (Dolakha)
kwi;Awa Pit
ahk;Akha
cof;Tsafiki
rmb;Rembarrnga
poi;Sierra Popoluca
tri;Trió
car;Kalihna
mca;Maká
win;Hocak
amn;Amanab
sva;Svan
wwr;Warrwa
tnl;Lenakel
mrw;Maranao
nyv;Nyulnyul
kpx;Koiali (Mountain)
ngr;Nagu
bav;Babungo
dur;Dii
daf;Dan
mlg;Malagasy
zoc;Zoque (Copainalá)
bsn;Barasano
vie;Vietnamese
kgo;Krongo
ind;Indonesian
spp;Supyire
ote;Otomi (Mezquital)
ape;Bukiyip
blu;Hmong Njua
mni;Meithei
tur;Turkish
yaq;Yaqui
grb;Grebo
dgz;Daga
mbl;Maxakalí
yre;Yaouré
yok;Yokuts
top;Totonac (Papantla)
pjt;Pitjantjatjara
kal;Greenlandic Eskimo (West)
apu;Apurina
ayr;Aymara
bmi;Bagirmi
bam;Bambara
bgr;Bawm
brh;Brahui
bzd;Bribri
chl;Cahuilla
tsi;Tsimshian (Coast)
com;Comanche
dyo;Diola-Fogny
ekg;Ekari
sja;Epena Pedee
evn;Evenki
grt;Garo
hbo;Hebrew (Biblical)
huz;Hunzib
ibo;Igbo
arh;Ika
que;Quechua (Imbabura)
irk;Iraqw
kan;Kannada
hmt;Kapau
kyu;Kayah Li
ker;Kera
kha;Khasi
kjg;Khmu
kij;Kilivila
gil;Kiribatese
kon;Kongo
btx;Koro Batak
kfz;Koromfe
lbj;Ladakhi
lav;Latvian
lvk;Lavukaleve
cle;Chinantec (Lealao)
lep;Lepcha
lue;Luvale
mde;Maba
myh;Makah
zmr;Maranungku
mrz;Marind
muw;Mundari
mur;Murle
niy;Ngiti
cgg;Nkore-Kiga
pqm;Passamaquoddy
rap;Rapanui
ona;Selknam
sza;Semelai
shp;Shipibo-Konibo
pom;Pomo (Southeastern)
spa;Spanish
mky;Taba
tzm;Tamazight (Ayt Ndhir)
nhg;Nahuatl (Tetelcingo)
mtg;Una
urb;Uruba-Kaapor
wmb;Wambaya
pav;Wari
wic;Wichita
huu;
knw;!Xu
yii;Yidiny
zul;Zulu
axb;Abipon
heb;Hebrew (Modern)
fij;Fijian
kfb;Kolami
cbt;Chayahuita
aoc;Pemon
ach;Acholi
efi;Efik
nbw;Ngbandi
nhr;Nharo
mhr;
por;Portuguese
hye;Armenian (Western)
uig;Uighur
ess;Yup’ik (Siberian)
mly;Malay
khm;Cambodian
coc;Cocopa
akz;Alabama
hva;
aro;Araona
pie;Piro
quz;Quechua (Cuzco)
njm;Naga (Angami)
kfk;Kinnauri
;Rangpas
bee;Byangsi
chx;Chantyal
lhm;Lhomi
bft;Balti
vay;Hayu
kas;Kashmiri
mjt;
sat;Santali
scl;Shina (Eastern)
yma;
asm;Assamese
ben;Bangla
new;Newar (Kathmandu)
ori;Oriya
arz;Arabic (Egyptian)
kiz;Kisi
kzw;Kiriri (Kipea)
had;Hatam
xok;Xokleng
bor;Bororo
jek;Jeli
dkl;Dogon
hnh;//Ani
xuu;Khoe
nmn;!Xõo
ncg;Nisgha
gup;Mayali
khe;Korowai
jao;Yanyuwa
mwp;Kala Lagaw La
bdy;Bandjalang
djj;Ndjebbana
apt;Apatani
kac;Dulong
kgj;
ynn;Yana
xcw;Coahuiltec
tdh;Thulung (Mukli)
tlc;Totonac (Misantla)
kbk;Koiari
klj;Khalaj
duu;Jinghpo
pbh;Panare
lif;Limbu
kbd;Circassian (East)
kur;Kurmanjî
swe;Swedish
bul;Bulgarian
udm;Udmurt
mns;Mansi
kca;Khanty
yua;Yucatec
ron;Romanian
kla;Klamath
dal;Dahalo
hop;Hopi
crn;
;Rarámuri
nmm;Manange
bod;Tibetan (Lhasa)
lmc;Limilngan
jap;Jarawara
sac;Fox
ccc;Chamicuro
guc;Wayuu
mau;Mazateco (Huautla)
san;Sanskrit
sme;Saami (North)
sma;Saami (South)
smj;Saami (Lule)
sje;Saami (Pite)
sju;Saami (Ume)
sms;Saami (Skolt)
smn;Saami (Inari)
sjt;Saami (Ter)
sia;Saami (Akkala)
sjd;Saami (Kildin)
fao;Faroese
nob;Norwegian (Bokmål)
nno;Norwegian (Nynorsk)
enf;Enets (Forest)
nrn;Shetland Norn
gla;Scottish Gaelic
yrk;Nenets (Forest)
koi;Komi (Permyak)
pao;Paiute (Northern)
kim;Tofa (Karagas)
kgy;Tibetan (Kyirong)
cng;Qiang
bod;Tibetan (Dege)
taj;Tamang (Eastern)
ita;Italian
cat;Catalan (Standard)
srd;Sardinian
kzq;Kaike
mgp;Magar
ths;Thakali
ett;Etruscan
xtz;Tasmanian
dlc;Dalska
rji;Raji
tbc;Takia
sbe;Saliba
eve;Even
kqz;Korana
kik;Kikuyu
run;Rundi
mor;Moro
tic;Tiro
nyi;Nyimang
aid;Anguthimri
ado;Arapesh (Abu)
;Ayomán
aze;Azerbaijani
;Bahuana
;Berber (Figuig)
;Betoi
adi;Bokar
adi;Bori
bgg;Bugun
yil;Bularnu
ram;Canela
;Chasta Costa
xch;Chemakum
;Colac
xcm;Comecrudo
css;Costanoan
;Cuica
doc;
;Esmeralda
opt;Eudeve
frr;
adl;Gallong
;Guaque
;Sign Language Hong Kong
;Juat
zkk;Karankawa
zku;Kaurna
bwv;
zko;Kott
rop;Kriol (Fitzroy Crossing)
;Kuala
xwa;Kwazá
;Lughat al-Isharat al-Lubnaniya
;Lule
;Madimadi
;Maipure
yab;Máko
rnp;Marchha
mnt;Mayi-Yapi
vmb;Mbabaram
adi;Milang
omc;Mochica
mon;Khamnigan
;Nahuatl (Huauchinango)
;Nahuatl (Milpa Alta)
;Nahuatl (Pochutla)
yia;Nhanda
puq;Puquina
quh;Quechua (Bolivian)
;Romani (Sepecides)
;Russian-Chinese Pidgin
wee;
xtz;Tasmanian (Oyster Bay to Pitwater)
tpw;Tupi
;Tzeltal
uzb;Uzbek
;Warrnambool
;Wathawurrung
;Western Desert (Ooldea)
;Woiwurrung
;Womo
;Yaygir
ydd;Yiddish
;Yorta Yorta
;Yurimangí
aaa;Ghotuo
aal;Kotoko
aau;Abau
abb;Bankon
abe;Abenaki (Western)
abi;Abidji
abq;Abaza
aca;Achagua
acc;Achí
abj;Aka-Biada
acv;Achumawi
aci;Aka-Cari
acm;Arabic (Iraqi)
acn;Achang
acu;Achuar
acw;Arabic (Hijazi)
acy;Arabic (Kormakiti)
adj;Adioukrou
ads;Sign Language Adamorobe
adt;Adynyamathanha
adx;Amdo
aeb;Arabic (Tunisian)
aed;Sign Language Argentinian
pqa;Pa'a
afb;Arabic (Gulf)
abv;Arabic (Bahrain)
afr;Afrikaans
afn;Defaka
aar;Qafar
afz;Obokuitai
agd;Agarabi
agg;Anggor
agh;Lebeo
agm;Angaatiha
agq;Aghem
agr;Aguaruna
agt;Agta (Central)
agu;Aguacatec
agx;Aghul
ahh;Aghu
ahi;
aht;Ahtna
aia;Arosi
aib;Aynu
aie;Amara
aii;Neo-Aramaic (Assyrian)
aij;Neo-Aramaic (Arbel Jewish)
aiz;Aari
aja;Aja
aji;Ajie
ajp;Arabic (Palestinian)
akc;Mpur
akl;Aklanon
akr;Araki
akv;Akhvakh
akx;Aka-Kede
ald;Alladian
alq;Algonquin
alo;Larike
alp;Alune
alr;Alutor
alt;Altai (Southern)
alu;'Are'are
ais;
aly;Alyawarra
amc;Amahuaca
ame;Amuesha
amf;Hamer
amk;Ambai
amo;Amo
amr;Amarakaeri
amu;Amuzgo
zmr;Emmi
anc;Angas
ane;Xârâcùù
anh;Nend
ani;Andi
ank;Goemai
ann;Obolo
ano;Andoke
anq;Jarawa (Andamans)
anu;Anywa
any;Anyi
aoa;Angolar
aoi;Anindilyakwa
aom;Ömie
apy;Apalaí
apb;Sa'a
apc;Arabic (North Levantine Spoken)
aph;Athpare
apj;Apache (Jicarilla)
apm;Apache (Chiricahua)
apn;Apinayé
apq;A-Pucikwar
apr;Arop-Lokep
apw;Apache (Western)
apz;Ampeeli
ake;Akawaio
aqc;Archi
ard;Arabana
are;Arrernte (Western)
ari;Arikara
arl;Arabela
arp;Arapaho
arr;Karó (Arára)
rkb;Rikbaktsa
arv;Arbore
arw;Lokono
ary;Arabic (Moroccan)
asa;Pare
ase;Sign Language American
asf;Auslan
asu;Asuriní
atq;Aralle-Tabulahan
atw;Atsugewi
aty;Anejom
ast;Asturian
aul;Aulua
aun;One
auw;Awyi
auy;Auyana
avn;Avatime
ava;Avar
avt;Au
avu;Avokaya
awb;Awa
awa;Awadhi
awi;Awin
awn;Awngi
 Kunfäl; Kunfel)
 Kunfäl; Kunfel)
axk;Aka
ayl;Arabic (Eastern Libyan)
ayn;Arabic (San'ani)
ayo;Ayoreo
azb;Azari (Iranian)
azr;Adzera
azz;Nahuatl (Sierra de Zacapoaxtla)
bas;Basaa
bae;Baré
bag;Tuki
bwi;Baniwa
ybb;Yemba
bao;Barasano (Northern)
bar;German (Bavarian)
baw;Mbili
bax;Bamun
baz;Tunen
bba;Bariba
bbc;Batak (Toba)
bbd;Bau
bbl;Tsova-Tush
bbn;
bbo;Bobo Fing
baa;Sisiqa
bci;Baule
bcj;Bardi
bck;Bunuba
bcm;Banoni
bco;Kaluli
bcq;Gimira
bcs;Kohumono
bcw;Bana
bcx;Pamona
bis;Bislama
bde;Bade
ckb;Kurdish (Central)
bdh;Baka (Sudan)
bdk;Budukh
bdl;Bajau
bdm;Buduma
bdq;Bahnar (Plei Bong-Mang Yang)
bds;Burunge
bdu;Bakundu
bef;Benabena
beq;Beembe
blc;Bella Coola
bng;Benga
bet;Bété (Guiberoua)
bew;Betawi
bex;Jur Mödö
bfa;Bari
bfd;Bafut
bfq;Badaga
bfu;Gahri
rem;Remo
bal;Baluchi
bgq;Bagri
bgz;Banggai
bhb;Bhili
bhg;Binandere
bho;Bhojpuri
bfi;Sign Language British
bhp;Bima
bhw;Biak
bia;Badimaya
bib;Bisa
bid;Bidiya
bif;Biafada
bii;Bisu
bim;Bimoba
brf;Bira
bpr;
bjb;Banggarla
bjh;Bahinemo
bji;Burji
bjr;Binumarien
bjt;
bjy;Dharumbal
bkc;Baka (Cameroon)
bkd;Binukid
bkk;Brokskat
bik;Bikol
bkm;Kom
bkq;Bakairí
blb;Bilua
bla;Blackfoot
bli;Bolia
bll;Biloxi
blw;Balangao
blz;Balantak
bmu;Burum
bem;Bemba
bnc;Bontok
bnh;Banawá
bni;Bobangi
bnq;Bantik
boa;Bora
boi;Barbareño
bol;Bole
bom;Birom
loy;Baragaunle
bot;Bongo
boz;Bozo (Tigemaxo)
bpp;Kaure
bug;Bugis
bpu;Bongu
bqc;Boko
bqp;Busa
;Kata Kolok
brb;Brao
brc;Berbice Dutch Creole
brg;Baure
bri;Bakueri
brm;Barambu
brn;Boruca
bre;Breton
bru;Bru (Eastern)
brv;Bru (Western)
brx;Bodo
bsc;Basari
bsh;Kati (Afghanistan)
bsp;Baga Sitemu
bsw;Bayso
bsz;Basque (Souletin)
bth;Biatah
bya;Batak
btz;Alas
bue;Beothuk
buf;Bushoong
puu;Punu
bxk;Bukusu
bum;Bulu
buo;Buin
bwr;Bura-Pabir
bvb;Bubi
bvq;Birri
bvr;Burarra
bvs;Sign Language Flemish
bvx;Babole
bwe;Karen (Bwe)
bwo;Shinassha
bwu;Buli (Ghana)
bak;Bashkir
bua;Buriat
prx;Purki
byn;Bilin
byr;Baruya
ban;Balinese
bzf;Boiken
bzk;Mískito Coast English Creole
bzq;Buli (Indonesia)
bzr;Biri
bzs;Sign Language Brazilian
caa;Chortí
cab;Garífuna
cac;Chuj
cad;Caddo
cag;Chulupí
cal;Carolinian
cam;Cèmuhî
can;Chambri
cao;Chácobo
crx;Carrier
cas;Mosetén
cav;Cavineña
cax;Chiquito
cay;Cayuga
cbc;Carapana
cbd;Carijona
chb;Muisca
cbg;Chimila
cbi;Cayapa
cbk;Chavacano
cbn;Nyah Kur (Tha Pong)
cbr;Cashibo
cbv;Kakua
cco;Chinantec (Comaltepec)
ccx;Zhuang (Northern)
cdm;Chepang
cdn;Chaudangsi
cdo;Fuzhou
ceb;Cebuano
chr;Cherokee
chc;Catawba
chf;Chontal Maya
chh;Chinook (Lower)
chq;Chinantec (Quiotepec)
crw;Chrau
cht;Cholon
clw;Chulym
chy;Cheyenne
cic;Chickasaw
cir;Tinrin
cit;Bangla (Chittagong)
cja;Cham (Western)
cje;Chru
cjh;Chehalis (Upper)
cji;Chamalal
cjm;Cham (Eastern)
cjo;Campa Pajonal Asheninca
cjp;Cabécar
cjs;Shor
cjv;Chuave
;Cakchiquel
cnk;Khumi
cko;Anufo
cks;Tayo
cla;Ron
cld;Chaldean (Modern)
clk;Idu
clm;Clallam
clo;Chontal (Huamelultec Oaxaca)
cmi;Embera (Chami)
cnt;Chinantec (Tepetotutla)
cob;Chicomuceltec
cod;Cocama
coe;Koreguaje
col;Columbia-Wenatchi
coo;Comox
cop;Coptic
cou;Konyagi
coz;Chocho
cpa;Chinantec (Palantla)
chp;Chipewyan
crc;Lonwolwol
crd;Coeur d'Alene
crj;
crg;Michif
crh;
mus;Creek
cor;Cornish
cro;Crow
crq;
crs;Seychelles Creole
csb;Kashubian
csh;Hyow
