ISO639.3;language
nbj;Ngarinyman
nbx;Wangkumara
caq;
nce;Nagatman
ncj;Nahuatl (North Puebla)
ncl;Nahuatl (Michoacan)
ncu;Chumburung
ndo;Ndonga
ndi;Samba Leko
ndt;Mondunga
ndv;Ndut
ndz;Ndogo
nee;Nelemwa
neg;Negidal
nbl;Ndebele (South Africa)
nen;Nengone
nfr;Nafaanra
nga;Ngbaka
ngc;Ngombe
nge;Ngemba
ngi;Ngizim
ngk;Ngalkbun
bdu;Londo
ngo;Ngoni
pcc;Yay
nhb;Beng
nhn;Nahuatl (Central)
nhp;Nahuatl (Pajapan)
nhu;Noni
nid;Ngandi
nie;Lua
nih;Nyiha
nio;Nganasan
nia;Nias
niu;Niuean
niz;Ningil
njb;Nocte
njh;Lotha
njo;Ao
nju;Ngadjumaja
nkf;Kabui
nko;Nkonya
nkr;Nukuoro
nlg;Gela
nmb;Nambas (Big)
nmd;Ndumu
nmf;Naga (Tangkhul)
nmg;Bujeba
nni;Nuaulu
nnk;Nankina
nnm;Namia
nnt;Nanticoke
noa;Waunana
nog;Noghay
lao;Lao
not;Nomatsiguenga
npa;Nar-Phu
ita;Italian (Napolitanian)
nrl;Ngarluma
nrm;Narom
nau;Nauruan
nrz;Ala'ala
nse;Nsenga
nsk;Naskapi
nsl;Norsk Tegnspråk
nsm;Sema
nsn;Nehan
lns;Lamnso'
nsq;Miwok (Northern Sierra)
nsz;Nisenan
ntj;Ngaanyatjarra
ntm;Nateni
nto;Ntomba
ntp;Tepehuan (Northern)
nuf;Nusu
num;Niuafo'ou
nun;Anong
nup;Nupe
nus;Nuer
nut;Nung (Vietnam)
nuv;Nuni (Northern)
nux;Mehek
nwi;Tanna (Southwest)
nxg;Ngad'a
nxn;Ngawun
nya;Nyanga
nyj;Chichewa
now;Nyambo
nyn;Runyankore
nyp;Nyangi
nyo;Runyoro-Rutooro
nys;Nyungar
nyt;Nyawaygi
nym;Nyamwezi
nzk;Nzakara
nzm;Naga (Zeme)
nzs;Sign Language New Zealand
oaa;Orok
oac;Oroch
oca;Ocaina
ocu;Ocuilteco
ogb;Ogbia
ogu;Ogbronuagum
ojg;Ojibwa (Eastern)
ojs;Ojibwa (Severn)
oka;Okanagan
oku;Kuo
oma;Omaha
omb;Ambae (Lolovoli Northeast)
omg;Omagua
ong;Olo
ono;Onondaga
ons;Ono
ore;Orejón
ork;Orokaiva
oro;Orokolo
ort;Oriya (Kotia)
oru;Ormuri
osa;Osage
otz;Otomí (Ixtenco)
otm;Otomí (Sierra)
otq;Otomí (Santiago Mexquititlan)
otr;Otoro
oua;Berber (Wargla)
oym;Wayampi
oyb;Oi
pab;Parecis
pac;Pacoh
pap;Papiamentu
plu;Palikur
par;Shoshoni
pay;Pech
pbe;Popoloca (Metzontla)
pbf;Popoloca (San Vicente Coyotepec)
pbi;Podoko
pbr;Pangwa
pbs;Pame
pll;Palaung
pci;Parji (Dravidian)
pck;Paite
pcm;Nigerian Pidgin
tpi;Tok Pisin
pdo;Padoe
peg;Pengo
peh;Baonan
pej;Pomo (Northern)
fas;Persian (Western Farsi)
tgk;Tajik
pgu;Pagu
pia;Pima Bajo
pid;Piaroa
pif;Pingilapese
pim;Powhatan
pio;Piapoco
pip;Pero
bca;Bai
pir;Piratapuyo
pit;Pitta Pitta
piu;Pintupi
piv;Pileni
pkn;Pakanha
pko;Pokot
pks;Sign Language Indo-Pakistani (Karachi)
plg;Pilagá
plh;Paulohi
plo;Olutec
pau;Palauan
pam;Kapampangan
ita;Italian (Turinese)
pmt;Tuamotuan
pmw;Miwok (Plains)
pag;Pangasinan
pan;Panjabi
pnw;Panyjima
poa;Pocomam Oriental
pob;Pokomchí
poa;Pocomam
poe;Popoloca (San Juan Atzingo)
png;
poo;Pomo (Central)
pos;Sayultec
pot;Potawatomi
pov;Guinea Bissau Crioulo
pox;Polabian
poy;Pogoro
ppk;Uma
ppo;Podopa
pol;Polish
pre;Príncipense
prk;Parauk
prn;Prasuni
prs;Dari
frp;Provencal
psa;Pisa
psd;Sign Language Plains-Indians
psr;Língua Gestual Portuguesa
pss;Kaulong
pst;
ptp;Patep
ptu;Bambam
pui;Puinave
puo;Ksingmul
puw;Puluwat
pwg;Gapapaiwa
pww;Phlong
pym;Fyem
que;Quechua (Ancash)
ahg;Kemant
que;Quechua (Tarma)
xac;Kachari
kuy;Kuuku Ya'u
wdj;Pungupungu
xmu;Kamu
qvc;Quechua (Cajamarca)
que;Quechua (Ecuadorean)
quy;Quechua (Ayacucho)
rab;Camling
rad;Rade
ran;Riantana
rao;Rao
raw;Rawang
rej;Rejang
rel;Rendille
ren;Rengao
roh;Romansch
rif;Berber (Rif)
rim;Rimi
rit;Ritharngu
rmo;Romani (Burgenland)
rmt;Domari
rmw;Romani (Welsh)
rog;Roglai (Northern)
rom;Romani (North Russian)
rng;Ronga
roo;Rotokas
rop;Kriol (Ngukurr)
bpz;
rou;Runga
rro;Roro
rsl;Sign Language Russian
rth;Toratán
rtm;Rotuman
kin;Kinyarwanda
rug;Roviana
rut;Rutul
bel;Belorussian
rwa;Poko-Rawo
rwo;Rawa
sab;Buglere
sel;Selkup
sxn;Sangir
sba;Ngambay
sbc;Kele
sbf;Shabo
sbs;Subiya
sbu;Tod
sce;Santa
scl;Shina
xsr;Sherpa
sda;Toraja
sdg;Savi
sdm;Semandang
sdo;Mentuh Tapuh
sdp;Sherdukpen
sea;Semai
sed;Sedang
sef;Senadi
seh;Sena
sei;Seri
spl;Selepet
ser;Serrano
sey;Secoya
sgh;Rushan
sgl;Ishkashimi
sgz;Sursurunga
shb;Shiriana
sna;Shona
shi;Tashlhiyt
shj;Shatt
shk;Shilluk
shm;Koluri
shv;Jibbali
shy;Berber (Chaouia)
sif;Seme
snn;Siona
xsi;Sio
sip;Sikkimese
ssb;
siz;Berber (Siwa)
shn;Shan
sjr;Siar
sjw;Shawnee
skb;Saek
skh;Sikule
ski;Sika
sku;Sakao
skv;Sko
xsl;
slc;Sáliba (Colombia)
slh;Salish (Southern Puget Sound)
slk;Slovak
slr;Salar
slu;Selaru
slv;Slovene
sly;Selayar
slz;Ma'ya
xbr;Kambera
smq;Nomad
smr;Simeulue
snc;Sinaugoro
snd;Sindhi
snf;Noon
sin;Sinhala
div;Dhivehi
snk;Soninke
snp;Siane
snq;Sangu
snv;Sa'ban
sob;Sobei
sop;Songe
sov;Sonsorol-Tobi
lad;Ladino
spo;Spokane
sps;Taiof
spu;Sapuan
sqt;Soqotri
srb;Sora
hrv;
sri;Siriano
srl;Isirawa
srm;Saramaccan
srn;Sranan
srq;Sirionó
srs;Sarcee
nso;Sotho (Northern)
ssd;Siroi
sse;Sama (Balangingi)
ssf;Thao
ssl;Sisaala
ssn;Oromo (Waata)
sot;Sesotho
ssp;Sign Language Spanish
sst;Tabare
ssy;Saho
stc;Natügu
sti;Stieng
sto;Stoney
str;Salish (Straits)
suk;Sukuma
sus;Susu
sui;Suki
sum;Sumu
sjg;Sungor
sun;Sundanese
sur;Mupun
suv;Sulung
svs;Savosavo
swb;Comorian
swi;Sui
swl;Svenska Teckenspråket
ssw;Swati
pdt;Low German
szg;Sengele
szp;Inanwatan
szw;Sawai
taa;Tanana (Lower)
tab;Tabasaran
tac;Tarahumara (Western)
tae;Tariana
tpj;Tapiete
tpm;Tampulma
tan;Tangale
twf;Tiwa (Northern)
tap;Tabwa
tar;Tarahumara (Central)
tav;Tatuyo
tay;Atayal
tbd;Kaki Ae
tbg;Tairora
tbh;Dharawal
tbi;Ingessana
tbl;Tboli
tbu;Tubar
tbw;Tagbanwa (Aborlan)
tby;Tabaru
tca;Ticuna
tcb;Tanacross
tcc;Datooga
tcg;Tamagario
tuk;Turkmen
tcs;Broken
tam;Tamil
tel;Telugu
tcx;Toda
tcy;Tulu
tcz;Thadou
tdn;Tondano
tds;Doutai
ter;Terena
stp;Tepehuan (Southeastern)
teh;Tehuelche
tem;Temne
tll;Tetela
teo;Teso
tep;Tepecano
teq;Temein
atj;Atikamekw
teu;So
tew;Tewa (Arizona)
tex;Tennet
tfn;Tanaina
tfr;Teribe
tft;Ternate
tgc;Tigak
tgg;Tangga
tir;Tigrinya
tgo;Sudest
thd;Thaayorre
thf;Thangmi
thp;Thompson
tht;Tahitian
thv;Tuareg (Ahaggar)
tig;Tigré
tih;Timugon
tik;Tikar
til;Tillamook
tin;Tindi
tio;Teop
tiv;Tiv
tix;Tiwa (Southern)
tiy;Tiruray
tkr;Tsakhur
;Tati (Southern)
tkw;Buma
tlb;Tobelo
tld;Talaud
tlj;Talinga
tlo;Jomang
tma;Tama
tmc;Tumak
tmd;Haruai
tmq;Tumleo
aoz;Timorese
tna;Tacana
tnc;Retuarã
tuf;Tunebo
tnk;Kwamera
tnm;Tabla
tnt;Tontemboan
tob;Toba
toi;Tonga (Zambia)
toj;Tojolabal
tkl;Tokelauan
too;Totonac (Xicotepec de Juárez)
tos;Totonac (Sierra)
ton;Tongan
tow;Jemez
tqo;Toaripi
tpq;Nyamkad
tcf;Tlapanec
trc;Trique (Copala)
trg;Neo-Aramaic (Persian Azerbaijan)
tro;Tarao
trp;Kokborok
trr;Taushiro
trs;Trique (Chicahuaxtla)
chk;Chuukese
trv;Seediq
trw;Torwali
tsg;Tausug
tsj;Tshangla
tsm;Türk Isaret Dili
tso;Tsonga
tsp;Toussian
tsq;Sign Language Thai
tss;Sign Language Taiwanese
tsv;Tsogo
tsn;Tswana
tsu;Tsou
tta;Tutelo
ttc;Teco
tti;Tobati
tet;Tetun
tat;Tatar
ttt;Tat (Muslim)
tty;Sikaritai
tub;Tubatulabal
tue;Tuyuca
tuh;Taulil
tui;Tupuri
tuo;Tucano
xed;Hdi
tus;Tuscarora
ttm;Tutchone (Northern)
tuv;Turkana
tvk;Ambrym (Southeast)
tvo;Tidore
twa;Twana
aka;Akan
txn;Tarangan (West)
txu;Kayapó
txx;Tatana'
typ;Thaypan
tza;Sign Language Tanzania
tzb;Tzeltal (Bachajón)
;Tzotzil
tzn;Tugun
tzs;Tzotzil (San Andrés)
tzz;Tzotzil (Zinacantán)
uby;Ubykh
ude;Udihe
udl;Uldeme
ugn;Sign Language Ugandan
ukr;Ukrainian
uks;Sign Language Urubú
sah;Yakut
ulc;Ulcha
uli;Ulithian
ulk;Meryam Mir
uma;Sahaptin (Umatilla)
ubu;Kaugel
umu;Munsee
unp;Worora
upv;Atchin
urd;Urdu
ure;Uru
urh;Urhobo
uri;Urim
urk;Urak Lawoi'
ury;Orya
uum;Urum
uur;Ura
uwa;Kugu Nganhcara
uzb;Uzbek (Northern)
vaf;Vafsi
vag;Vagla
vai;Vai
van;Walman
var;Guarijío
vas;Vasavi
ved;Vedda
ven;Venda
vep;Veps
viv;Iduna
vkt;Kutai
vky;Kayu Agung
nld;Dutch (Zeeuws)
vmw;Makua
vot;Votic
waa;Sahaptin (Northern)
wgi;Wahgi
wls;Wallisian
wam;Massachusett
wap;Wapishana
waq;Wagiman
wau;Waurá
waw;Wai Wai
wax;Watam
way;Wayana
wal;Wolaytta
wbj;Alagwa
wbl;Wakhi (Wakhan)
wbv;Watjarri
wca;Yanomámi
wdj;Bachamal
wed;Wedau
dsb;Sorbian (Lower)
wem;Wéménugbé
hsb;Sorbian (Upper)
wep;German (Westphalian)
wer;Weri
wgy;Warrgamay
wib;Toussian (Win)
wig;Wik Ngathana
wim;Wik Munkan
wiw;Wirangu
wlg;Gunbalang
wlo;Wolio
cym;Welsh
wms;Wambon
wmt;Walmatjari
wnc;Wantoat
woa;Tyeraity
wob;Wobe
woe;Woleaian
wog;Wogamusin
woi;Woisika
wol;Wolof
wos;Hanga Hundi
wrb;Warluwara
wrg;Warrungu
wrp;Waropen
war;Waray-Waray
wti;Berta
wuu;Wu
wya;Wyandot
wyy;Fijian (Wayan)
xam;|Xam
xas;Kamass
xav;Xavante
xer;Xerénte
xki;Sign Language Kenyan
xkp;Kabatei
;Mekens
xmf;Mingrelian
xmm;Manadonese
xho;Xhosa
xra;Krahô
xxk;Ke'o
yaa;Yaminahua
yae;Yaruro
yaf;Yaka
yag;Yahgan
yah;Yazgulyam
yai;Yaghnobi
yam;Yamba
yao;Yao (in Malawi)
yas;Gunu
ybe;Saryg Yughur
ycn;Yucuna
yer;Tarok
yey;Yeyi
yia;Yingkarta
;Yi
xwg;Koegu
yij;Yindjibarndi
ywt;Lalo
yiy;Yir Yiront
yka;Yakan
yky;Yakoma
yle;Yelî Dnye
yll;Yil
yly;Nyalayu
tao;Yami
yns;Yansi
yap;Yapese
yrb;Yareba
ysr;Yup’ik (Sirenik)
yue;Cantonese
yui;Yuruti
yuk;Yuki
yul;Yulu
yum;Quechan
yup;Yukpa
yuu;Yugh
yux;Yukagir (Kolyma)
yuy;Shira Yughur
ywr;Yawuru
zaa;Zapotec (Juárez)
zab;Zapotec (San Lucas Quiaviní)
zne;Zande
zav;Zapotec (Yatzachi)
zaw;Zapotec (Mitla)
zay;Zayse
zen;Zenaga
zik;Zimakani
zmc;Margany
zmi;Malay (Ulu Muar)
zml;Madngele
zmq;Mituku
zmt;Maringarr
zmu;Muruwari
zoh;Zoque (Chimalapa)
zor;Zoque (Rayon)
zos;Zoque (Francisco León)
zpd;Zapotec (Ixtlan)
zpi;Zapotec (Quiegolani)
zpm;Zapotec (Mixtepec)
zpq;Zapotec (Zoogocho)
zpz;Zapotec (Texmelucan)
zro;Zaparo
zza;Zazaki
xct;Tibetan (Classical)
dar;Dargi (standard)
agx;Agul
gaf;Gende
tkp;Tikopia
grc;Greek (Ancient)
got;Gothic
ang;English (Old)
uga;Ugaritic
nud;Ngala
psw;Port Sandwich
ggd;Gugadj
zmm;Maramanandji
bea;Beaver
tmr;Aramaic (Biblical)
yok;Yokuts (Valley)
tlp;Totonac (Filomeno Mata)
dng;Dungan
swr;Saweru
skv;Skou
bdq;Bahnar
nds;Low German (Old)
goh;High German (Old)
osx;Old Saxian
;Old Norse
ofs;Frisian (Old)
orv;Russian (Old)
;Bulgarian (Old)
ems;Yup’ik (Pacific Gulf)
ctn;Chintang
pum;Puma
neb;Toura
wme;Wambule
pli;Pali
ygr;Yagaria
tji;
dnw;Lani (Western Dani)
bap;Bantawa
yau;Waruwaru
ple;Palu'e
adn;Adang
kxl;Dhangar
sat;Satar
;Kisan
kab;Berber (Kabyle)
sgh;Khufi
sgl;Zebaki
sgh;Shughni
sgh;Bartangi
sgh;Roshorvi
srh;Sariqoli
sgl;Sanglichi
ydg;Yidgha
mnj;Munji
prc;Parachi
lat;Latin
scn;Sicilian
;Mongolian (Peripheral)
agj;Argobba
asb;Assiniboine
fra;French (Cajun)
ave;Avestan
yba;Yala
thk;Tharaka
dee;Dewoin
duf;Dumbea
tam;Irula
saz;Saurashtra
bun;Sherbro
url;Urali
syc;Syriac
nbm;Ngbaka Ma'bo
reg;Kara (Tanzania)
wbl;Wakhi (Hunza)
djl;Djiwarli
kiu;Kirmanjki
diq;Dimili
ynd;Yandruwandha
;Tarom
xkj;Kajali
shm;Shahrudi
;Chali
tks;Takestani
esh;Eshtehardi
dbl;Giramay (Dyirbal)
tly;Talysh (Northern)
xub;Betta Kurumba
doa;Dom
ngh;Nǀuu
atr;Waimiri Atroari
phl;Palula
var;River Warihío
nht;Nahuatl (Ometepec)
poq;Popoluca (Texistepec)
mlw;Moloko
rah;Rabha
bph;Botlikh
dar;Dargi (Chirag)
dar;Dargi (Mehweb)
dar;Dargi (Icari)
dar;Dargi (Urakhi)
kpj;Karajá
eto;Eton
ttu;Torau
suz;Kõic
kee;Keresan (Laguna)
puy;Puyuma
ava;Avar (Chadakolob)
akv;Akhvakh (Northern)
dar;Dargi (Kaitag)
shi;Shilha
sxr;Saaroa
lzz;Laz (Ardeşen)
ktb;Kambaata
lgq;Logba
hna;Mina
kyo;Klon
nco;Sibe
tdh;Thulung (Ribdung)
kkt;Koyi
bch;Bariai
yal;Jalonke
abz;Abui
;Dogon (Tommo So)
djm;Dogon (Jamsay)
mtd;Mualang
ssg;Seimat
twe;Teiwa
bcr;Witsuwit'en
hue;Huave (San Francisco del Mar)
;Sasak (Puyung meno-mené)
ybh;Yakkha
rey;Reyesano
jee;Jero
tdh;Old Thulung (Mukli)
aat;Arvanitika
jut;Jutish
paq;Parya
cos;Corsican
enb;Markweeta
enh;Enets (Tundra)
she;Sheko
bhj;Bahing
hsn;Xiang
tsb;Tsamai
lbr;Lohorung
mla;Tamambo
yak;Yakima
zwa;Zay
kcx;Kachama-Ganjule
nnh;Ngiemboon
 Balessing; Bangang
 Balessing; Bangang
alw;Alaba-K’abeena
stv;Silt’e
ghl;Gulfan
kdu;Kadaru
czn;Chatino (Zenzontepec)
wgw;Wagawaga
cat;Catalan (Balearic)
bqj;Bandial
blp;Blablanga
otl;Otomi (Tilapa)
bit;Berinomo
buy;Bullom So
aot;Atong
mkz;Makasae
mkz;Makalero
hmq;Miao (Eastern Qiandong)
erk;Efate (South)
gho;Ghomara
taq;Tamashek (Mali)
wja;Waja
(d)taq;Tamashek (Burkin Faso)
sgw;Gurage (Sebat Bet)
ajg;Aja (Benin)
ada;Dangme
lic;Hlai
zpx;Zapotec (San Baltazar Loxicha)
kub;Kutep
kih;Kilmeri
miw;Akoye
ago;Tainae
zia;Zia
nou;Ewage-Notu
mcq;Ese
med;Melpa
nii;Nii
imo;Imbongu
nca;Iyo
awx;Awara
ksr;Borong
eme;Emerillon
ojc;Ojibwa (Central)
aoj;Mufian
xbi;Kombio
kms;Kamasau
bjz;Baruga
tim;Timbe
kmu;Kanite
kze;Kosena
waj;Waffa
iws;Iwam (Sepik)
sim;Seim
ham;Hewa
sny;Saniyo-Hiyewe
mnh;Mono
;Dogon (Ben Tey)
dbu;Dogon (Najamba)
;Dogon (Yorno So)
;Dogon (Togo Kan)
;Dogon (Nanga)
ots;Otomi (Estado de México)
;Neo-Aramaic (Barwar)
kxo;Kanoé
jbt;Djeoromitxi
;Otí
tit;Tinigua
spc;Caliana
kqq;Krenak
bnn;Bunun
uun;Pazeh
d(nep);Nepali (Eastern)
qum;Sipakapense
bwm;Biwat
rkg;Rangkas
lnj;Leningitij
gun;Guaraní (Mbyá)
agb;Legbo
duo;Agta (Dupaninan)
adx;Tibetan (Amdo)
avi;Avikam
amm;Ama
buu;Budu
bio;Nai
bdr;Bajau (West Coast)
bxj;Bayungu
cap;Chipaya
csk;Diola-Kasa
dds;Donno So
dhl;Dhalandji
gdb;Gadaba (Kondekor)
guf;Gupapuyngu
guw;Gungbe
huc;‡Hoan
khg;Kham (Dege)
kkh;Khün
kui;Kuikúro
kwy;Iwoyo
gbb;Kaytej
kyz;Kayabí
lbu;Labu
lmu;Lamen
mdw;Mbosi
mge;Mango
mcs;Mambai
moj;Munzumbo
mxe;Ifira-Mele
mdm;Mayogo
bud;Ncàm
ney;Neyo
nlr;Ngarla
nly;Nyamal
sen;Nanerge
kre;Panará
ral;Ralte
ryu;Okinawan (Shuri)
sid;Sidaama
sub;Suku
sii;Shompen
skj;Tangbe
tms;Tima
tvt;Tutsa
ump;Umpila
urt;Urat
vif;Vili
vka;Kariera
vnm;Vinmavis
wbt;Wanman
wgg;Wangkangurru
wkw;Wagawaga (Australia)
wan;Wan
wrm;Warumungu
wwa;Waama
xns;Kanashi
ylr;Yalarnnga
zag;Beria
dba;Bangime
cog;Chong
fij;Fijian (Nadroga)
bdw;Baham
nad;Balyku
wra;Barupu
kwo;Kwomtari
fqs;Momu
lec;Leko
mqf;Momuna
owi;Owininga
mpj;Wangkajunga
hmb;Songhay (Humburi Senni)
bfn;Bunak
mtj;Moskona
;Irish (Old)
